n_phys,k,d,p,n_samples,worm_error_rate,worm_uncertainty_2sigma,mld_estimator,mwpm_error_rate,mwpm_uncertainty_2sigma,rel_diff_mwpm_minus_worm_over_mwpm,rel_diff_uncertainty
900,182,8,0.01,354721,0.002173539204050501,0.00015638597168042098,0.0021448532790562247,0.0021538053850772565,0.00015567596897060672,-0.009162303664932328,9.256161358209039e-05
900,182,8,0.0125,413832,0.005511898548203109,0.00023018041253404736,0.005474555133484493,0.0056037232500144585,0.0002320791070705797,0.016386373436823896,0.0001368693598472651
900,182,8,0.015,395904,0.012434832686711972,0.0003522393780387589,0.012162232258325578,0.012495453443258975,0.00035308609362256387,0.004851425106121821,0.0002080075176856561
900,182,8,0.0175,375562,0.024214377386423513,0.0005016525623231523,0.024111066614832977,0.024438042187441722,0.0005039063225030136,0.009152320767051704,0.00029873299342031954
900,182,8,0.02,339660,0.043004769475357696,0.000696179116857002,0.042909678502031534,0.043561208267090645,0.0007004648434402261,0.012773722627738137,0.0004205911067336264
900,182,8,0.0225,326723,0.07179476192370904,0.0009032511618854907,0.07104044006696797,0.07237935498878256,0.0009066354551564903,0.008076792963464861,0.0005562047738236674
900,182,8,0.025,321998,0.11023049832607656,0.0011038067656501398,0.1099723392691877,0.11157522717532409,0.001109679667003613,0.012052216995574466,0.0007064816671266119
900,182,8,0.0275,315680,0.16218639128231116,0.0013121617453981495,0.16135361188545372,0.16395400405473892,0.0013179003127236945,0.010781150375794505,0.0008858228465261877
900,182,8,0.03,311680,0.22684484086242296,0.0015002834222166122,0.22589726835215596,0.22940515913757697,0.0015062260933827508,0.011160683067369743,0.0010910094390629227
900,182,8,0.0325,397261,0.30297461870155895,0.0014582079110857745,0.30150634645736674,0.30610606125443973,0.001462428161280519,0.010229926647149536,0.001170716352408989
900,182,8,0.035,391320,0.3846570581621179,0.0015554621151217718,0.38407570070530517,0.389785853010324,0.0015592585909997884,0.013157981000583442,0.0014067002874394695
900,182,8,0.0375,387078,0.4728607670805367,0.001604944662485815,0.4715005864451094,0.4780612693048947,0.0016057661332947797,0.0108783174004444,0.0016874227854917294
900,182,8,0.04,379861,0.5615211880135103,0.0016101822037771203,0.560291309452668,0.5664782644177739,0.0016081061239017343,0.008750691272080073,0.002033311901397635
900,182,8,0.0425,374680,0.6466851713462154,0.0015618061324975327,0.6451170075798012,0.6514519056261343,0.0015569414310947001,0.007317093155691107,0.0024439959440449876
900,182,8,0.045,370200,0.7229875742841707,0.0014710479537657336,0.7212631650459211,0.7277336574824419,0.0014631707067236759,0.006521731061182502,0.0029329995346598016
